1,Mona Lisa,Leonardo da Vinci,1503–1506,"Universally celebrated Renaissance portrait known for its subject’s enigmatic smile and groundbreaking use of sfumato . Its blend of mystery and technical mastery symbolizes artistic genius, making it the most recognized painting worldwide.","Time Out (NYC), Scaruffi"
2,Girl with a Pearl Earring,Johannes Vermeer,1665,"Iconic Dutch Golden Age portrait often called the “Mona Lisa of the North” for its subject’s captivating gaze and masterful use of light. Exemplifies Vermeer’s innovative focus on intimate moments and luminous color, solidifying its fame and influence.","Time Out (NYC), Britannica"
3,The Starry Night,Vincent van Gogh,1889,"Visionary Post-Impressionist landscape painted during Van Gogh’s asylum stay, renowned for its swirling night sky and emotive color. Reflects the artist’s emotional turbulence and unique style, becoming an emblem of modern artistic expression and beloved by audiences globally.","Time Out (NYC), TOPofART, Scaruffi"
4,The Kiss,Gustav Klimt,1907–1908,"Opulently gilded Symbolist masterpiece depicting an intimate embrace, blending Byzantine-inspired gold leaf with modern sensuality. Celebrated for its ornamental detail and emotional impact, it remains one of the most famous works of the Vienna Secession movement.","Time Out (NYC), Scaruffi"
5,The Birth of Venus,Sandro Botticelli,1484–1486,"Quintessential Early Renaissance work showing the goddess Venus emerging from the sea, epitomizing classical beauty and mythological revival . Its graceful composition and use of myth set a standard for Western art’s engagement with antiquity.","Time Out (NYC), Scaruffi, TOPofART"
6,Whistler’s Mother (Arrangement in Grey and Black No. 1),James McNeill Whistler,1871,"Iconic portrait of the artist’s mother in profile, notable for its restrained palette and harmonious composition . A breakthrough in tonal harmony and abstraction in portraiture, it became a symbol of maternal dignity and a cornerstone of American art.","Time Out (NYC), Britannica"
7,American Gothic,Grant Wood,1930,"Famous American Regionalist painting portraying a stern farming couple, seen as a depiction of rural American spirit during the Great Depression. Its blend of realism and satire captured national attention and turned the image into a cultural icon of Americana.","Scaruffi, Artsy (Iconic Works)"
8,Las Meninas,Diego Velázquez,1656,"Baroque masterpiece featuring the Spanish royal family’s maids of honor, famed for its complex perspective and self-referential mirror imagery. Its innovative composition and interrogation of reality vs. representation influenced generations of artists and art theory.","Time Out (London), Scaruffi, Britannica"
9,Guernica,Pablo Picasso,1937,"Monumental Cubist mural responding to the bombing of Guernica, Spain, it’s a stark anti-war statement rendered in fragmented figures and monochrome. The painting’s harrowing imagery of suffering became a universal symbol of the tragedies of war and the power of modern art as protest.","Time Out (London), Britannica"
10,The Seagram Murals,Mark Rothko,1958,"Series of large abstract paintings in deep reds and blacks originally commissioned for NYC’s Four Seasons, creating an engulfing, contemplative atmosphere. Lauded for their spiritual intensity and as a pinnacle of Color Field painting, exemplifying mid-20th-century abstract expressionism.",Telegraph (Hudson)
11,Snow Storm: Steam-Boat off a Harbour’s Mouth,J. M. W. Turner,1842,"Turner’s proto-Impressionist seascape thrusting the viewer into a tempest, admired for its energetic brushwork and portrayal of nature’s fury. It revolutionized landscape painting with its abstracted depiction of light and motion, cementing Turner’s legacy in modern art.","Telegraph (Hudson), BBC"
12,The Arnolfini Portrait,Jan van Eyck,1434,"Early Northern Renaissance double portrait celebrated for its meticulous detail, complex symbolism (including a convex mirror), and revolutionary use of oil glazing . Van Eyck’s naturalistic technique and hidden meanings set a new standard for realism and art as documentation.","Scaruffi, Britannica"
13,A Bar at the Folies-Bergère,Édouard Manet,1882,"Manet’s final major work showing a barmaid before a mirror in a bustling Parisian nightclub, notable for its modern life subject and enigmatic mirrored reflection. Merges realism with Impressionist influences, challenging perspective and social conventions, and is hailed as a modern masterpiece.",Time Out (London)
14,The Garden of Earthly Delights,Hieronymus Bosch,c. 1500,"Triptych painting depicting Eden, earthly pleasures, and Hell with fantastic, nightmarish imagery. Bosch’s visionary, surreal details and moral themes make it one of the most analyzed and captivating works in Western art, foreshadowing surrealism centuries later.","Scaruffi, Britannica"
15,The Last Supper,Leonardo da Vinci,1495–1498,"Famed mural of Jesus and the Apostles, capturing the dramatic moment Christ announces a betrayal. Da Vinci’s masterful composition, use of perspective, and emotional depth made it a model for religious art, deeply influencing Western depictions of biblical scenes.","ATX Fine Arts, Britannica"
16,Persistence of Memory,Salvador Dalí,1931,"Surrealist icon featuring melting pocket watches draped across a barren landscape, symbolizing the fluidity of time. Its dreamlike imagery and technical precision epitomize Dalí’s blend of bizarre imagination and meticulous realism, embedding it in popular culture.","Scaruffi, TOPofART"
17,The Night Watch,Rembrandt van Rijn,1642,"Large-scale Baroque group portrait of a civic militia, praised for its dramatic use of light and shadow (chiaroscuro) and movement . Rembrandt’s innovative composition broke convention by depicting action and depth, making this one of the most famous Dutch Golden Age paintings.","ATX Fine Arts, Britannica"
18,The School of Athens,Raphael,1509–1511,"High Renaissance fresco celebrating philosophy, featuring Plato, Aristotle, and other thinkers in a grand architectural setting. Renowned for its balanced composition, idealized figures, and perspective, encapsulating the spirit of classical knowledge and Renaissance humanism.",(Unified List Additional: Represented in art literature)
19,Liberty Leading the People,Eugène Delacroix,1830,"Romantic nationalist painting depicting a personified Liberty guiding revolutionaries over barricades. Celebrated for its passionate energy and political symbolism (the French tricolor), it became an enduring representation of the fight for freedom and republican ideals.","ATX Fine Arts, Britannica"
20,"No. 5, 1948",Jackson Pollock,1948,"Seminal drip painting of the Abstract Expressionist movement, composed of layered splatters and drips of paint on fiberboard. Lauded for its radical abandonment of traditional form and technique, it exemplified the post-WWII shift toward expressing the artist’s subconscious through “action painting.”",(Unified List Additional: Frequently cited in art sales/critique for influence)
21,Les Demoiselles d’Avignon,Pablo Picasso,1907,"Pioneering Proto-Cubist painting of five nude figures with mask-like faces, breaking traditional perspective and form. This canvas shattered artistic conventions and paved the way for Cubism, making it one of the most influential works in modern art history.","Britannica, Artsy (Iconic Works)"
22,The Scream,Edvard Munch,1893,"Expressionist composition of a figure clutching its face beneath a blood-red sky, famously conveying existential angst. Called “an icon of modern art” for its raw emotional impact, it has resonated in popular culture as a visual embodiment of anxiety and despair.","Britannica, Visual Arts Cork"
23,The Third of May 1808,Francisco Goya,1814,"Influential history painting showing the execution of Spanish rebels by Napoleon’s troops, noted for its stark realism and emotional power. Goya’s unflinching portrayal of war’s brutality and the martyr-like figure under lantern light revolutionized war art and inspired countless later works.","ATX Fine Arts, Britannica"
24,"Impression, Sunrise",Claude Monet,1872,"The painting that gave Impressionism its name, showing a hazy Le Havre sunrise with bold brushstrokes and light effects. Monet’s focus on capturing fleeting light and atmosphere over detail marked a radical departure from academic art and ushered in modern painting’s emphasis on perception and feeling.","ATX Fine Arts, Britannica"
25,Bal du moulin de la Galette,Pierre-Auguste Renoir,1876,"Joyous Impressionist scene of a bustling outdoor dance in late 19th-century Paris, praised for its vibrant light, color, and sense of movement. It captures modern urban leisure with warmth and immediacy, exemplifying Impressionism’s charm and enduring popularity.","ATX Fine Arts, Scaruffi"
26,The Hay Wain,John Constable,1821,"Pastoral English landscape depicting a wagon in a river, lauded for its careful observation of nature and atmospheric sky. Its exhibition in France influenced the Barbizon and later Impressionist painters, while at home it became a beloved representation of the English countryside, winning a BBC public poll in 2005.",BBC (Greatest Painting in Britain poll)
27,Cafe Terrace at Night,Vincent van Gogh,1888,"Vibrant nocturnal scene of a street café in Arles, notable for being one of the first paintings to feature a starry sky with bold color contrasts . Showcases Van Gogh’s innovative use of color and perspective; its inviting warmth and dynamic brushwork make it a public favorite and an example of his optimistic period.","Mullins (BBC), ATX Fine Arts"
28,Self-Portrait (Age 51),Rembrandt van Rijn,1657,"One of Rembrandt’s late self-portraits, remarkable for its unflinching honesty and textured impasto. It reflects introspective depth and technical mastery, representing the pinnacle of self-portraiture and offering insight into the artist’s soul, thus highly regarded in art criticism.","Telegraph (Hudson), Mullins (BBC)"
29,Arnolfini Portrait,Jan van Eyck,1434,(Note: Already listed as rank 12 as “The Arnolfini Portrait”),
29,The Sleeping Gypsy,Henri Rousseau,1897,"Primitivist dreamscape of a lion sniffing a sleeping woman under a moonlit sky, noted for its naive style and surreal tranquility. Embodies the charm of Rousseau’s self-taught style and inspired later Surrealists with its mysterious, dream-like quality.","Scaruffi, ATX Fine Arts"
30,Napoleon Crossing the Alps,Jacques-Louis David,1801–1805,"Iconic propaganda portrait of Napoleon on a rearing horse, exemplifying Neoclassical grandeur and heroic imagery. David’s dramatic composition and idealization of Napoleon’s leadership made this painting a lasting symbol of Napoleonic legend and an art-historical reference for equestrian portraiture.","TOPofART, ATX Fine Arts"
31,Wanderer above the Sea of Fog,Caspar David Friedrich,1818,"Definitive Romantic image of a lone figure standing on a mountain, gazing over a foggy landscape. Celebrated for capturing the sublime — the mix of awe and terror in nature’s vastness — it has come to represent Romantic introspection and the 19th-century quest for spiritual experience in nature.",(Unified List Additional: Commonly cited in art history texts for Romanticism)
32,The Persistence of Memory,Salvador Dalí,1931,(Note: Already listed as rank 16),
32,Nighthawks,Edward Hopper,1942,"Iconic American realist scene of late-night diners in a city cafe, known for its stark lighting, eerie stillness, and portrayal of urban isolation. A symbol of mid-20th-century alienation and Hopper’s cinematic eye, it remains one of the most recognizable American paintings, widely referenced in popular culture.","ATX Fine Arts, Britannica"
33,Oath of the Horatii,Jacques-Louis David,1784,"Revolutionary Neoclassical painting where three brothers swear an oath to Rome, exemplifying stoic virtue and patriotic sacrifice. Its dramatic lighting, rigid composition, and moral narrative made it an instant classic, aligning art with Enlightenment ideals and influencing French Revolutionary aesthetics.",(Unified List Additional: Standard in art history canon; Louvre highlight)
34,The Fighting Temeraire,J. M. W. Turner,1838,"Turner’s homage to the age of sail, depicting an old warship towed by a modern steam tug at sunset. Beloved for its glowing sky and poignant theme of change, it was voted Britain’s favorite painting in a 2005 poll. The work’s emotional resonance and innovative use of light underscore Turner’s genius and national treasure status.","BBC (Nat’l Gallery poll), Guardian"
35,La Grande Jatte (Sunday Afternoon),Georges Seurat,1884–1886,"Masterpiece of Pointillism portraying Parisian citizens relaxing by the Seine, distinguished by its precise dots of color and studied composition. Merges scientific color theory with social commentary, influencing modern art’s direction and remaining one of the late 19th century’s most famous images of urban leisure.","Scaruffi, ATX Fine Arts"
36,Garden of the Asylum,Vincent van Gogh,1889,"Van Gogh’s late painting of a hospital garden in Saint-Rémy, often seen as a serene scene belying his inner turmoil. Its vibrant greens and yellows and rhythmic brushwork foreshadow Expressionism. Mark Hudson notes it “ushered in 20th-century expressionism” as van Gogh neared life’s end.",Telegraph (Hudson)
37,The Triumph of Death,Pieter Bruegel the Elder,1562,"Apocalyptic panorama of an army of skeletons destroying humanity, serving as a grim memento mori with richly detailed vignettes. Bruegel’s haunting imagery and social satire encapsulate Renaissance anxieties about death and have cemented its reputation as one of the most powerful allegorical paintings.","Scaruffi, Mullins (BBC)"
38,The Kiss,Auguste Rodin,1882,"(Sculpture, not painting — omitted for painting list)",
38,The Ghent Altarpiece (Adoration of the Mystic Lamb),Jan van Eyck (and Hubert van Eyck),1432,"Monumental polyptych altarpiece famed for its intricate detail, vivid color, and theological complexity. Regarded as one of the most influential early Netherlandish paintings, it introduced new realism and set standards for oil painting technique, affecting European art for centuries.",(Unified List Additional: Noted in art history and by The Guardian as top painting)
39,Three Studies for Figures at the Base of a Crucifixion,Francis Bacon,1944,"Triptych portraying distorted, shrieking creatures, executed in the aftermath of WWII, marking Bacon’s explosive entry onto the art scene . Its raw depiction of pain and torment redefined figurative painting in the 20th century, influencing post-war existential art and securing Bacon’s reputation.",Mullins (BBC)
40,Portrait of Madame X,John Singer Sargent,1884,"Striking portrait of a Parisian socialite in a black gown, notorious for its initial scandal due to the subject’s provocative pose and strap placement. Acclaimed today for its elegance, psychological insight, and the artist’s virtuoso handling of paint, it stands as Sargent’s most famous and an icon of portraiture.",(Unified List Additional: Frequently referenced in art books and museum highlights)
41,The Adoration of the Magi,Gentile da Fabriano,1423,"Lavishly detailed International Gothic altarpiece showing the Three Kings visiting the infant Christ, featuring ornate costumes and elaborate gilding. Celebrated for its color, pageantry, and naturalistic details (animals, crowd scenes), it represents the peak of Gothic painting’s elegance before the Renaissance style took hold.",Time Out (Britannica’s Florence list)
42,Olympia,Édouard Manet,1863,"Groundbreaking realist depiction of a nude courtesan boldly gazing at the viewer, which shocked French Salon audiences for its modern subject and frankness. Manet’s use of flat lighting and confrontational pose challenged academic norms and paved the way for modern art’s break with classical ideals, making Olympia a cornerstone of art history.","(Unified List Additional: Widely cited in art history for its influence, e.g., The Art Story)"
43,View of Delft,Johannes Vermeer,1660–1661,"Esteemed cityscape capturing Vermeer’s hometown with extraordinary clarity and tranquility, noted for its meticulous rendering of light on buildings and water. One of Vermeer’s largest and most admired works, it had a deep influence on later artists (Proust called it “the most beautiful painting in the world”), underlining Vermeer’s genius beyond interiors.","(Unified List Additional: Cited in numerous art references, e.g., Mauritshuis highlights)"
44,Starry Night Over the Rhône,Vincent van Gogh,1888,"Early starry-night scene painted in Arles, blending city gaslights reflected in the Rhône with a starlit sky. Showcases Van Gogh’s fascination with night effects and emotive color; though often overshadowed by The Starry Night, it’s praised for its romantic tranquility and innovative depiction of nocturnal light, contributing to Van Gogh’s stellar legacy.",(Unified List Additional: Recognized in Van Gogh retrospectives and by the Musée d’Orsay collection)
45,The Swing,Jean-Honoré Fragonard,1767,"Quintessential Rococo painting of a young woman on a swing kicking her shoe, observed by admirers, exuding playful eroticism and pastel charm. Its feathery brushwork and lighthearted mood epitomize 18th-century French aristocratic taste, while later art critics admire it as a masterful example of composition and movement in painting.",(Unified List Additional: Featured in Wallace Collection highlights; significant in Rococo art discussions)
46,The Creation of Adam,Michelangelo,1508–1512,"Iconic Sistine Chapel ceiling fresco panel illustrating God giving life to Adam with outstretched hands nearly touching. It’s celebrated for its monumental figures, dramatic tension, and theological depth. As part of one of the most famous artworks in the world (the Sistine Ceiling), it influenced countless artists and became a visual shorthand for creation itself.",(Unified List Additional: Ubiquitously referenced in art and pop culture; Vatican Museums)
47,Birth of Venus,Sandro Botticelli,1484–1486,(Note: Already listed as rank 5),
47,The Sleeping Gypsy,Henri Rousseau,1897,(Note: Already listed as rank 29),
47,The Sacrifice of Isaac,Caravaggio,1603,"Dramatic Baroque scene capturing the angel’s intervention as Abraham nearly sacrifices his son, noted for intense chiaroscuro and emotional realism. Caravaggio’s radical use of live models and theatrical lighting injected realism into biblical scenes, greatly influencing Baroque art across Europe. This work exemplifies his ability to depict a climactic moment with gripping humanity.","(Unified List Additional: Example of Caravaggio’s influence, included often in Caravaggio exhibitions & literature)"
48,Sunflowers (Vase with Fifteen Sunflowers),Vincent van Gogh,1888,"One of Van Gogh’s famous sunflower still lifes, celebrated for its vibrant yellows and thick impasto that capture both the beauty and decay of the flowers. These sunflowers became symbols of friendship (painted to decorate Gauguin’s room) and the potential of color to evoke emotion, contributing to Van Gogh’s posthumous fame and remaining some of the most beloved still life images.","BBC (National Gallery shortlist), Multiple (ex: Van Gogh Museum)"
49,The Persistence of Memory,Salvador Dalí,1931,(Note: Already listed as rank 16),
49,Night Watch,Rembrandt van Rijn,1642,(Note: Already listed as rank 17),
49,The Grande Odalisque,Jean-Auguste-Dominique Ingres,1814,"Elongated, sensual depiction of an idealized concubine, blending classical precision with Romantic exoticism. Initially criticized for anatomical distortions, it’s now admired for its elegant line, cool color, and East-meets-West allure. Ingres’ work bridged Neoclassicism and Romanticism, influencing later 19th-century portraiture and nudity in art.",(Unified List Additional: Often cited in surveys of 19th-century art; Louvre collection highlight)
50,Mr. and Mrs. Andrews,Thomas Gainsborough,1750,"Enlightenment-era double portrait of an affluent couple posed in their English estate’s landscape, showcasing Gainsborough’s dual mastery of portrait and landscape. Notable for its informality and natural setting, it offers insight into 18th-century social status and landownership, and it helped elevate landscape as a worthy subject in British art.","Time Out (London), Telegraph (Hudson)"
51,The Fighting Temeraire,J. M. W. Turner,1838,(Note: Already listed as rank 34),
51,Judith Slaying Holofernes,Artemisia Gentileschi,1614–1620,"Powerful Baroque depiction of the biblical heroine Judith beheading the Assyrian general, painted by a pioneering female artist. Celebrated for its raw emotion, dramatic lighting, and feminist undertones (often seen as Gentileschi channeling personal trauma), it stands as a masterwork of Baroque naturalism and a landmark in women’s art history.",(Unified List Additional: Gained prominence in recent decades; Uffizi Gallery highlight)
52,The Card Players,Paul Cézanne,1894–1895,"One of Cézanne’s series of Provençal peasant card players, notable for its solid, sculptural figures and quiet intensity. Cézanne’s analytical approach to form and color in this work was pivotal for the transition from Impressionism to Cubism, with Picasso and others citing Cézanne as “the father of us all.” The painting’s record sale price also attests to its high esteem.","Artsy (influence discussions), Sotheby’s archives"
53,The Calling of St. Matthew,Caravaggio,1599–1600,"Baroque masterpiece capturing the moment Jesus calls Matthew (a tax collector) to apostleship in a Roman tavern setting, illuminated by a dramatic beam of light. Caravaggio’s innovative use of tenebrism and placing biblical events in a contemporary environment revolutionized religious painting, making scenes relatable and immediate. The work’s naturalism and theatrical contrast had a lasting impact on Baroque art.","(Unified List Additional: Frequently discussed in Baroque art context; in-situ at San Luigi dei Francesi, Rome)"
54,The Burial of the Count of Orgaz,El Greco,1586,"Mannerist canvas in which heavenly and earthly realms converge as St. Stephen and St. Augustine descend to assist at a nobleman’s funeral. Celebrated in Spain as a cultural treasure, it’s praised for its elongated figures, intense spirituality, and bold blend of Byzantine icon tradition with Western painting. This complex, otherworldly composition is El Greco’s most famous work, encapsulating his unique style.","(Unified List Additional: Key piece in Spanish art, in Toledo)"
55,Composition VII,Wassily Kandinsky,1913,"An explosion of color and form, often considered Kandinsky’s magnum opus and one of the first truly abstract canvases. He likened the process to composing music, layering shapes and hues to evoke pure emotion. This complex work, with swirling forms, exemplifies the breakthrough of abstraction and the idea that painting can directly convey spirituality without representing the physical world.","(Unified List Additional: Highlighted in abstract art histories; Tretyakov Gallery, Moscow)"
56,The Last Judgment,Michelangelo,1536–1541,"Massive fresco behind the Sistine Chapel altar showing Christ’s Second Coming and the final judgment of souls, filled with dynamic nudes in varied poses. Controversial for its nudity (later partially censored), it’s a tour de force of anatomical mastery and emotional drama. Michelangelo’s composition influenced religious art for centuries and remains a high-water mark of High Renaissance/Mannerist painting.","Scaruffi (as “Il Giudizio Universale”), Vatican archives"
57,Arnolfini Portrait,Jan van Eyck,1434,(Note: Already listed as rank 12),
57,The Garden of Earthly Delights,Hieronymus Bosch,1500,(Note: Already listed as rank 14),
57,The Red Studio,Henri Matisse,1911,"Avant-garde Fauvist interior depicting the artist’s studio painted entirely in rich red, with paintings and objects outlined in reserve (unpainted canvas). Initially baffling to viewers, it’s now hailed for its bold color as subject and flattening of space, which presaged later abstraction. Matisse’s daring composition demonstrated color’s expressive power and influenced generations of modern artists.",(Unified List Additional: MoMA highlight; widely discussed in 20th-century art evolution)
58,Primavera,Sandro Botticelli,c. 1480,"Allegorical celebration of spring featuring Venus, Mercury, the Three Graces, and mythological figures in a lush orange grove. Rich in Renaissance Neoplatonic symbolism and admired for its linear grace, it is among the most studied mythological paintings. Botticelli’s Primavera helped resurrect classical themes in art and remains a beloved highlight of the Uffizi Gallery.","Scaruffi, Time Out (Florence list)"
59,The Thinker,Auguste Rodin,1880,"(Sculpture, not painting — omitted)",
59,The Potato Eaters,Vincent van Gogh,1885,"Early, dark-toned Van Gogh painting of a peasant family dining on potatoes, valued for its earnest portrayal of rural poverty and solidity of figures. Though technically rough, Van Gogh intended it as a sincere genre scene honoring workers. Today it’s esteemed as an important step in Van Gogh’s development, reflecting his social concerns and evolving style.","Scaruffi, Mullins (BBC)"
60,The Hunters in the Snow,Pieter Bruegel the Elder,1565,"One of Bruegel’s famous seasonal landscapes, depicting weary hunters and their dogs returning to a snow-covered village. Celebrated for its composition (diagonal plunge into depth), atmospheric perspective, and detailed vignettes of winter life (skaters on a frozen pond). It epitomizes landscape painting’s narrative potential and is often cited as one of the greatest landscape works of Western art.","Scaruffi, Mullins (BBC)"
61,The Isle of the Dead,Arnold Böcklin,1880,"Symbolist scene of a lone rowboat approaching a cypress-filled islet with cliff walls, evoking a mysterious afterlife journey. Hugely popular in its time (Böcklin painted five versions) and beyond (inspiring music by Rachmaninoff), it’s valued for its haunting mood and ambiguity. Freud, Lenin, and Hitler were fascinated by it, underscoring its broad cultural impact as a late-19th-century icon of mortality and mystery.",(Unified List Additional: Often discussed in Symbolism; widely reproduced in early 20th century)
62,The Death of Marat,Jacques-Louis David,1793,"Stark Neoclassical tribute to slain French revolutionary leader Jean-Paul Marat, depicted bleeding in his bath while clutching a false letter from his assassin. David’s political martyr portrait, with its pared-down setting and compassionate tone, became an instant propaganda image. It’s considered one of the most poignant paintings of the Revolution, marrying political history with classical visual rhetoric.",(Unified List Additional: Featured in Louvre and art history texts as exemplary political art)
63,The Burial of the Count of Orgaz,El Greco,1586,(Note: Already listed as rank 54),
63,Ophelia,John Everett Millais,1852,"Pre-Raphaelite portrayal of Shakespeare’s Ophelia singing before drowning, notable for its vivid botanical details and the model’s lifelike pose in water. Acclaimed for combining literary illustration with meticulous observation from nature (each plant is identifiable and symbolic). Millais’ Ophelia became a Victorian icon and influenced the aesthetic movement with its tragic beauty and lush execution.",(Unified List Additional: Tate Britain masterpiece; highly popular in prints)
64,Liberty Leading the People,Eugène Delacroix,1830,(Note: Already listed as rank 19),
64,The Raft of the Medusa,Théodore Géricault,1818–1819,"Monumental Romantic canvas depicting shipwreck survivors on a raft in despair and hope as a rescue ship approaches, based on a recent French naval disaster. Géricault’s unflinching realism (he studied corpses) and dramatic pyramid composition made it a sensation. It critiqued government incompetence and set a new path for history painting by focusing on contemporary tragedy and raw human emotion.","ATX Fine Arts, Britannica"
65,Arnolfini Portrait,Jan van Eyck,1434,(Note: Already listed as rank 12),
65,The Arnolfini Portrait,Jan van Eyck,1434,"(Duplicate entry, consolidated with rank 12)",
65,The Milkmaid,Johannes Vermeer,1658,"Intimate portrayal of a Dutch maidservant pouring milk, renowned for its fine detail (individual drops of milk), serene domestic mood, and beautiful rendering of light on varied textures. A small canvas that showcases Vermeer’s genius in elevating a simple act to timeless poetry, it’s beloved for its tranquility and often cited as one of the top Dutch paintings for its technical and aesthetic perfection.",(Unified List Additional: Rijksmuseum highlight; widely covered in Vermeer retrospectives)
66,Broadway Boogie Woogie,Piet Mondrian,1942–1943,"Vibrant grid painting composed of red, yellow, blue, and white rectangles with intermittent lines, inspired by New York’s grid and jazz’s rhythm. As Mondrian’s late-career masterpiece, it reflects the city’s energy and pushes his Neo-Plasticism to a new dynamic visual music. This painting is celebrated for its influence on design and abstraction, showing how pure geometry can evoke a lively urban experience.",(Unified List Additional: MoMA highlight; icon of geometric abstraction)
67,The Banjo Lesson,Henry Ossawa Tanner,1893,"Touching genre scene of an elderly Black man teaching a young boy to play banjo, a tender counter-narrative to stereotypical depictions. It’s historic as a dignified portrayal of African American family life by Tanner (one of the first internationally acclaimed Black American artists). Admired for its warm lighting and compassionate realism, it holds a significant place in American art and representation.",(Unified List Additional: Frequently cited in discussions of African American art history)
68,Homage to the Square: “Against Deep Blue”,Josef Albers,1955,"One of Albers’ influential abstract studies of nested squares in varying blues and grays. Though seemingly simple, it exemplifies Albers’ exploration of color relativity—how colors change appearance based on adjacency. It represents a cornerstone of mid-century modernism and color theory in art education, influencing countless artists with its subtle visual interactions.",Mullins (BBC)
